Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
HI_2-RG	Unknown Library	469079.0	42591045.0	761592.0	0.0	89808.0	2853285.0	2088243.0	0.067674	1058604436.0
HI_3-RG	Unknown Library	318310.0	29881065.0	539941.0	0.0	54816.0	2029537.0	1429708.0	0.068473	665241245.0
HI_4-RG	Unknown Library	246475.0	27350320.0	478233.0	0.0	40016.0	1865476.0	1309377.0	0.068629	601009646.0
HI_5-RG	Unknown Library	260121.0	37575686.0	600092.0	0.0	48051.0	2475720.0	1781743.0	0.066296	911119653.0
HI_6-RG	Unknown Library	258835.0	27730325.0	497480.0	0.0	41730.0	1811978.0	1266394.0	0.065788	632973721.0
LM_1_pool-RG	Unknown Library	320494.0	21196793.0	614510.0	0.0	54369.0	1466142.0	926872.0	0.069922	374162860.0
LM_3-RG	Unknown Library	518786.0	29715582.0	776619.0	0.0	90656.0	1618895.0	1139535.0	0.05552	842198511.0
LM_4-RG	Unknown Library	714339.0	55310744.0	1423807.0	0.0	176094.0	2909398.0	2104493.0	0.053845	1740753207.0
LM_7-RG	Unknown Library	285780.0	25339300.0	596547.0	0.0	45697.0	1372409.0	957172.0	0.054754	707691339.0
LM_8-RG	Unknown Library	282962.0	21847831.0	557593.0	0.0	42831.0	1146350.0	807944.0	0.053106	647029496.0
LOLA_1-RG	Unknown Library	335858.0	32351288.0	647939.0	0.0	61820.0	2017724.0	1423767.0	0.062998	794860182.0
LOLA_2-RG	Unknown Library	252612.0	23696595.0	461087.0	0.0	39879.0	1354459.0	964277.0	0.057692	654602273.0
LOLA_3-RG	Unknown Library	248790.0	24842249.0	479479.0	0.0	40670.0	1436907.0	1009560.0	0.058368	656593694.0
LOLA_4-RG	Unknown Library	332844.0	28246721.0	592094.0	0.0	59042.0	1905001.0	1201007.0	0.068085	510459928.0
LOLA_5-RG	Unknown Library	234938.0	23936590.0	489623.0	0.0	40816.0	1569722.0	1161891.0	0.066107	628294689.0
LOLA_6-RG	Unknown Library	272744.0	26986380.0	564634.0	0.0	48281.0	1751529.0	1290379.0	0.065468	707319529.0
NEH_1-RG	Unknown Library	192601.0	22811204.0	366820.0	0.0	31400.0	1473467.0	931275.0	0.065008	434153807.0
NEH_2-RG	Unknown Library	226455.0	26844904.0	415188.0	0.0	35956.0	1705306.0	1342883.0	0.063924	888708345.0
NEH_3-RG	Unknown Library	251458.0	37558558.0	613288.0	0.0	47694.0	2599910.0	2100451.0	0.069625	1246791872.0
NEH_4-RG	Unknown Library	457241.0	41206653.0	908589.0	0.0	89787.0	2589119.0	1970503.0	0.063569	1231176673.0
NEH_5-RG	Unknown Library	190560.0	23089903.0	470470.0	0.0	27627.0	1548680.0	1223159.0	0.067392	727137781.0
NEH_6-RG	Unknown Library	216038.0	26050206.0	492859.0	0.0	33452.0	1737574.0	1366344.0	0.067065	812392155.0
NG_NH0H4-RG	Unknown Library	188538.0	25863210.0	410534.0	0.0	30585.0	1559350.0	1100217.0	0.060662	659506606.0
NG_NH2F6-RG	Unknown Library	185428.0	22926531.0	379654.0	0.0	33125.0	1629716.0	1020824.0	0.071517	386707365.0
NG_NH2F8-RG	Unknown Library	218714.0	24093762.0	412218.0	0.0	38321.0	1641039.0	1033283.0	0.068594	429778261.0
NG_NH2M1-RG	Unknown Library	247639.0	28381150.0	487961.0	0.0	46988.0	1992621.0	1256971.0	0.070729	490965450.0
OBOYS2_1-RG	Unknown Library	186049.0	22522801.0	452420.0	0.0	26746.0	1318450.0	900493.0	0.058889	552066114.0
OBOYS2_2-RG	Unknown Library	216688.0	24418870.0	483624.0	0.0	33036.0	1533291.0	1051087.0	0.063187	558389325.0
OBOYS2_3-RG	Unknown Library	372930.0	28064530.0	758489.0	0.0	54888.0	1507331.0	1123702.0	0.054326	936974977.0
OBOYS2_4-RG	Unknown Library	248941.0	19437052.0	417416.0	0.0	34401.0	1169449.0	859541.0	0.060662	550606848.0
OBOYS2_5-RG	Unknown Library	210778.0	24815086.0	500088.0	0.0	32633.0	1534051.0	1045353.0	0.062213	570116133.0
OBOYS2_6-RG	Unknown Library	286930.0	37142836.0	750045.0	0.0	51373.0	2237833.0	1557647.0	0.060706	918952591.0
SL_1-RG	Unknown Library	293381.0	30808155.0	621583.0	0.0	46675.0	1730251.0	1285156.0	0.05665	969259281.0
SL_2-RG	Unknown Library	225318.0	20619117.0	418882.0	0.0	30568.0	1172363.0	803305.0	0.057286	525358701.0
SL_3-RG	Unknown Library	249945.0	32831014.0	646480.0	0.0	43741.0	1992925.0	1393455.0	0.061136	813815419.0
SL_4-RG	Unknown Library	171453.0	21449368.0	434252.0	0.0	23430.0	1213006.0	847828.0	0.056871	574230930.0
SL_5-RG	Unknown Library	299779.0	35064404.0	694884.0	0.0	52940.0	2129544.0	1583478.0	0.061226	1015216523.0
SL_6-RG	Unknown Library	281239.0	26520077.0	545535.0	0.0	41704.0	1480117.0	1101333.0	0.056299	844383167.0
SM_10-RG	Unknown Library	290499.0	29580902.0	528611.0	0.0	49071.0	2013151.0	1415310.0	0.068549	654049075.0
SM_11-RG	Unknown Library	297838.0	21417991.0	406491.0	0.0	62733.0	1300009.0	916263.0	0.061732	540799581.0
SM_12-RG	Unknown Library	247146.0	25283178.0	452037.0	0.0	39180.0	1687017.0	1196697.0	0.067171	583555811.0
SM_7-RG	Unknown Library	266010.0	33633950.0	596420.0	0.0	50132.0	2604847.0	1825573.0	0.077884	638529911.0
SM_8-RG	Unknown Library	267525.0	25295808.0	460577.0	0.0	41871.0	1713595.0	1214346.0	0.068209	572733956.0
SM_9-RG	Unknown Library	252526.0	24981101.0	453934.0	0.0	37178.0	1525959.0	1046122.0	0.061518	588950797.0
UMFS_1-RG	Unknown Library	185468.0	22207499.0	441517.0	0.0	29039.0	1399387.0	1121830.0	0.063403	793882277.0
UMFS_2-RG	Unknown Library	172172.0	26701021.0	477722.0	0.0	29875.0	1790834.0	1386937.0	0.067412	784814418.0
UMFS_3-RG	Unknown Library	267884.0	35464209.0	613708.0	0.0	49372.0	2227810.0	1804974.0	0.063276	1328453439.0
UMFS_4-RG	Unknown Library	303481.0	32864047.0	603745.0	0.0	60921.0	2196557.0	1604213.0	0.067453	814386111.0
UMFS_5-RG	Unknown Library	263364.0	25092162.0	482040.0	0.0	46027.0	1473628.0	931969.0	0.059334	530737548.0
UMFS_6-RG	Unknown Library	246141.0	25825090.0	460210.0	0.0	41580.0	1621779.0	1030884.0	0.063302	511889737.0
