Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HC_VA_1.R2	HC_VA_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41730579.0	0.0	50-151	35.0	92.05648311698023	149.37629930799667	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_2.R1	HC_VA_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40192102.0	0.0	50-151	35.0	90.19921987329049	150.54521336057516	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_2.R2	HC_VA_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40192102.0	0.0	50-151	36.0	91.53980698292318	149.32178720087842	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_3.R1	HC_VA_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30987782.0	0.0	50-151	35.0	92.50601021371855	150.61962369555846	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_3.R2	HC_VA_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30987782.0	0.0	50-151	35.0	93.91448538042788	149.60650316953954	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_4.R1	HC_VA_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33072289.0	0.0	50-151	35.0	92.32732881804152	150.6196909442827	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_4.R2	HC_VA_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33072289.0	0.0	50-151	35.0	93.63957302830399	149.78853036147572	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_5.R1	HC_VA_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38616785.0	0.0	50-151	35.0	91.30846534197057	150.57637661964867	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
HC_VA_5.R2	HC_VA_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38616785.0	0.0	50-151	35.0	92.47217342962911	149.51090363944073	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_6.R1	HC_VA_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41530702.0	0.0	50-151	35.0	90.81778672674375	150.5656395839396	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_6.R2	HC_VA_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41530702.0	0.0	50-151	35.0	92.09797833050509	149.43721859071874	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HG_HG0F2.R1	HG_HG0F2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38637556.0	0.0	50-151	35.0	91.73414194200512	150.62686239781834	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HG_HG0F2.R2	HG_HG0F2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38637556.0	0.0	50-151	35.0	93.13470792540815	149.84022912836411	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HG_HG2F1.R1	HG_HG2F1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49594575.0	0.0	50-151	36.0	85.95963195255952	150.47419311487195	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HG_HG2F1.R2	HG_HG2F1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49594575.0	0.0	50-151	37.0	87.16727387607183	149.42104252330017	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HG_HG2M5.R1	HG_HG2M5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21418709.0	0.0	50-151	35.0	89.87339338178887	150.38659444880642	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
HG_HG2M5.R2	HG_HG2M5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21418709.0	0.0	50-151	35.0	90.17318457855733	149.80956756077128	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
HI_1.R1	HI_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38017778.0	0.0	50-151	35.0	92.66121855520906	150.71361043246662	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_1.R2	HI_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38017778.0	0.0	50-151	35.0	93.72005436825917	150.16368665733174	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_2.R1	HI_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57522181.0	0.0	50-151	35.0	90.55506967323133	150.6924884506726	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_2.R2	HI_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57522181.0	0.0	50-151	35.0	91.95871458580568	150.0568598224744	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_3.R1	HI_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40783288.0	0.0	50-151	35.0	92.06898681542367	150.7021991213656	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
HI_3.R2	HI_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40783288.0	0.0	50-151	35.0	93.37427945431038	150.11858891808822	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_4.R1	HI_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36972698.0	0.0	50-151	35.0	92.5059277032864	150.71000836887802	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_4.R2	HI_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36972698.0	0.0	50-151	35.0	93.7585655104464	150.1899729091991	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_5.R1	HI_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49780164.0	0.0	50-151	35.0	92.05167500856349	150.71167360959276	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
HI_5.R2	HI_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49780164.0	0.0	50-151	35.0	93.11054823010434	150.24563759974757	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_6.R1	HI_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37726453.0	0.0	50-151	35.0	92.64424982307693	150.71057210175576	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HI_6.R2	HI_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37726453.0	0.0	50-151	35.0	93.70503043700026	150.17970141534377	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
LM_1_pool.R1	LM_1_pool.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31862609.0	0.0	50-151	36.0	90.47547816930182	150.51119912998965	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
LM_1_pool.R2	LM_1_pool.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31862609.0	0.0	50-151	37.0	91.85279713820054	149.27305074107397	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
