,X,Sample.ID,vcf_ID,vcf_order,Region,Ecotype,Wild.Sel,Pop,Temp,Sal,Pop.ID,Sample.ID.1,Length,Sex,NOTES,wildNtoS,custom.id,color,plot.id,atlantic.wild.subset,atlantic.selection.subset,exclude.LM,unrelated,envi.assoc
40,36,HI_1,HI_1,40,Maine,High,W,Hog Island,24.6,28,HI,1,82,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL - ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,0,0,1,1,1
41,37,HI_2,HI_2,41,Maine,High,W,Hog Island,24.6,28,HI,2,79,F,ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,0,0,1,1,1
42,38,HI_3,HI_3,42,Maine,High,W,Hog Island,24.6,28,HI,3,90,M,ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,0,0,1,1,1
43,39,HI_4,HI_4,43,Maine,High,W,Hog Island,24.6,28,HI,4,79,M,ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,0,0,1,1,1
44,40,HI_5,HI_5,44,Maine,High,W,Hog Island,24.6,28,HI,5,75,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL - ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,0,0,1,1,1
45,41,HI_6,HI_6,45,Maine,High,W,Hog Island,24.6,28,HI,6,94,M,ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,0,0,1,1,1
46,1,LM_1,LM_1,46,Mexico,High,W,Laguna Madre,28.9,26,LM,1,97,F,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,0,0,0,0,0
47,2,LM_3,LM_3,47,Mexico,High,W,Laguna Madre,28.9,26,LM,3,93,M,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,0,0,0,0,0
48,3,LM_4,LM_4,48,Mexico,High,W,Laguna Madre,28.9,26,LM,4,69,F,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,0,0,0,0,0
49,4,LM_7,LM_7,49,Mexico,High,W,Laguna Madre,28.9,26,LM,7,75,M,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,0,0,0,0,0
50,5,LM_8,LM_8,50,Mexico,High,W,Laguna Madre,28.9,26,LM,8,96,F,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,0,0,0,0,0
51,66,LOLA_1,LOLA_1,51,Chesapeake Bay,Low,S,LOLA,NA,NA,LOLA,1,102,NA,VERY THIN - polydora,NA,15_Ches_Sel_LOLA,#698dab,Ches_Sel_LOLA,0,1,1,1,0
52,67,LOLA_2,LOLA_2,52,Chesapeake Bay,Low,S,LOLA,NA,NA,LOLA,2,90,M,polydora,NA,15_Ches_Sel_LOLA,#698dab,Ches_Sel_LOLA,0,0,1,0,0
53,68,LOLA_3,LOLA_3,53,Chesapeake Bay,Low,S,LOLA,NA,NA,LOLA,3,100,NA,polydora,NA,15_Ches_Sel_LOLA,#698dab,Ches_Sel_LOLA,0,1,1,1,0
54,69,LOLA_4,LOLA_4,54,Chesapeake Bay,Low,S,LOLA,NA,NA,LOLA,4,99,F,polydora,NA,15_Ches_Sel_LOLA,#698dab,Ches_Sel_LOLA,0,1,1,1,0
55,70,LOLA_5,LOLA_5,55,Chesapeake Bay,Low,S,LOLA,NA,NA,LOLA,5,83,M,polydora,NA,15_Ches_Sel_LOLA,#698dab,Ches_Sel_LOLA,0,1,1,1,0
56,71,LOLA_6,LOLA_6,56,Chesapeake Bay,Low,S,LOLA,NA,NA,LOLA,6,95,F,polydora,NA,15_Ches_Sel_LOLA,#698dab,Ches_Sel_LOLA,0,1,1,1,0
57,18,NEH_1,NEH_1,57,DelBay,Selected,S,NEH93,NA,NA,NEH,1,80,M,NA,NA,14_DelBay_Sel_NEH,#7fcdff,DelBay_Sel_NEH,0,0,1,0,0
58,19,NEH_2,NEH_2,58,DelBay,Selected,S,NEH93,NA,NA,NEH,2,73,NA,no gonadal material,NA,14_DelBay_Sel_NEH,#7fcdff,DelBay_Sel_NEH,0,1,1,1,0
59,20,NEH_3,NEH_3,59,DelBay,Selected,S,NEH93,NA,NA,NEH,3,68,F,NA,NA,14_DelBay_Sel_NEH,#7fcdff,DelBay_Sel_NEH,0,1,1,1,0
60,21,NEH_4,NEH_4,60,DelBay,Selected,S,NEH93,NA,NA,NEH,4,72,M,NA,NA,14_DelBay_Sel_NEH,#7fcdff,DelBay_Sel_NEH,0,1,1,1,0
